eps_act_pct,d_act_mm,dL_pct,dR_pct
9.6717,25.37,5.988624806186649,5.775268031670188
5.0,32.41,2.9496158513082182,2.888723395915808
8.75,28.48,5.284228106057309,5.1189589620977545
26.25,15.81,16.116983182608568,16.207423666366168
14.4367,36.0,9.433845581905654,9.037060437933144
13.5217,11.7,5.822202236057561,7.520682370130512
21.1667,20.81,13.005387490904496,12.804312200130314
22.5,20.16,14.22144719433225,13.957590248108806
7.5,35.94,4.619324116895007,4.37816015364716
8.75,35.88,5.418315391271178,5.060165405871516
23.2917,36.0,14.92898034477188,14.541828736154166
16.6567,13.22,8.883760893792703,9.917665409599778
9.9733,19.29,5.7471685865380095,5.893735068217269
22.5,22.55,14.381985747765835,13.612668051581547
10.995,34.48,6.9718083425889255,6.778288941102138
25.7133,5.62,9.738718528411837,15.643572176042017
26.505,23.85,16.814356733421842,16.267498568523308
13.75,18.57,8.015731977327722,8.34868498412574
11.375,31.44,7.167904943600534,7.019171915414536
21.0883,11.7,11.025151369237385,12.496297905107904
21.25,5.62,7.506293610754988,13.063928193469994
1.9483,1.07,-24.16204655505494,1.064228878314609
18.7233,16.26,10.697856348631806,11.323474243291804
13.75,18.03,7.982345343428743,8.419237251597226
3.75,33.09,2.1641910239136086,2.0891310312389764
25.0,20.13,16.0664104940087,16.101595265158938
15.0,31.42,9.412757808086191,9.05420765884059
1.8183,25.37,0.726100474997815,0.7285722747645468
11.25,15.32,5.79664513548781,6.479049896131384
21.25,1.0,-7.310074166429614,13.15015874260181
16.7083,5.62,3.6243237159734765,10.03613244614686
1.25,24.17,0.39084755595899523,0.8191902167522439
20.6517,19.29,12.806442358917192,12.496297905107904
0.0,10.18,-3.392894360880616,-0.3494777578138883
27.5,28.51,18.470187045817887,17.52439932583389
24.27,34.48,15.839854297666545,14.841945228740103
15.0733,14.74,7.761258114789182,8.80407526605722
6.25,25.45,3.5796602602469196,3.2336455924430685
1.25,6.84,-4.6914567625419785,0.7016031042997688
18.5883,17.77,10.875779953718713,11.07864236776117
8.89,7.14,0.15360385586644654,4.95784547949533
12.5,13.42,6.239887967961177,7.286481401638381
30.0,22.33,19.65773877586996,18.810590953067308
21.25,25.24,13.67997622848318,13.126641320111315
0.0,23.96,-0.42228018992395144,-0.15993049933855905
12.2817,20.81,7.408056931992402,7.6352005054593555
24.885,14.74,15.001769794375065,15.611980966296127
16.25,18.43,9.62742920978139,10.073295966762043
19.8183,25.37,12.373428919265027,12.136947894248426
30.0,13.22,18.274725830917205,18.577605781191384
11.1517,20.81,6.247486922219747,6.434734535115603
28.75,12.0,17.569365297268934,18.0143456277192
1.8383,29.93,1.1048493609940424,1.0168420636957767
13.7133,28.41,8.39144644494796,8.259126897940648
7.5,7.43,-0.2751289004041646,4.45655156194881
0.0,19.29,-0.8212429089995421,-0.08490137619207457
27.5,21.77,18.206504278939327,17.990828205228706
20.87,29.93,12.773823950702123,12.543684719726736
22.865,4.11,5.135805109133984,13.787588603471084
6.7817,10.18,1.0382284421510013,3.7613284103698144
23.75,33.84,15.541868204663057,14.91788499980402
23.75,3.53,5.003023637491055,14.706228197389565
3.75,32.05,2.144057127220522,1.9833026300317487
6.485,26.89,4.090602415660438,4.025904791991628
12.2083,31.44,7.96058250917091,7.698382924951132
20.0,23.64,12.69108043962197,12.44463606788696
7.5,33.42,4.572240531047034,4.154744639987458
3.5683,28.41,1.697074001363097,2.094892096274212
15.355,19.29,8.948711543547638,9.076549450115506
2.5,17.69,0.554770318590192,1.4972758985615178
25.0,36.0,16.60190479021315,15.615568533688709
20.8183,4.11,3.8618387786405917,13.021501767133294
30.0,19.02,19.90250978431778,19.131423196017717
7.5,19.42,3.9627321008914196,4.350723160741583
23.5,8.66,11.316677549615427,13.870515529054039
10.995,19.29,5.627276998453845,5.976661993800225
13.75,27.69,8.494148514024724,8.36436326578607
27.5517,32.96,18.192007269116004,17.306059588919386
28.75,13.17,17.96450058059822,18.586602908321247
6.25,29.11,3.674865378883374,3.833339865950692
23.9017,2.59,1.4985809012470597,14.415463897170614
11.25,26.44,6.842371798029445,6.5652804452632
8.75,36.0,5.416111890454611,5.393328891153529
26.25,14.76,16.10805742723336,16.88550934817544
5.0,27.43,2.8397014328707337,2.9827930858777876
20.0,14.33,11.741877161354841,12.291772821698741
5.0,24.79,2.7606979497728057,2.888723395915808
16.6567,13.22,9.049850866985999,10.269117618022786
15.0,13.64,7.959448194614938,9.191392623368479
10.0,19.02,5.557786268028364,6.1576451220946185
13.75,26.64,8.521571680517702,8.109591188805707
8.4583,26.89,5.079987853234935,4.934152072185914
6.25,12.82,2.1159595347403526,3.6569591972719793
2.5,32.48,1.3388188768726605,0.8819033433935641
8.4483,13.22,3.6582853240722635,5.163188342843604
22.5,28.37,14.712430802522913,13.816485713165838
5.0,20.02,2.4332767566811686,2.633951318935445
6.25,14.4,2.3971792099442224,3.707913612668052
30.0,34.48,20.07628403347288,18.98039370545146
0.12,25.37,-0.28374944839365535,0.07305467253736647
21.25,5.75,6.807948990480628,13.271665425469367
5.4433,22.33,2.8327352268084027,3.0821174008332184
26.25,17.88,16.80456566921318,16.41908046878062
24.98,11.7,14.007012100469417,15.544849645586115
21.495,8.66,9.726821772461847,12.595020435563805
4.2233,20.81,2.180932042639383,2.6990739826643235
8.75,2.47,-9.822739562791083,5.499157292360757
22.5,5.02,7.071046510869028,14.192764473013758
11.25,35.64,7.0121467015345385,6.7455806843569945
12.76,10.18,4.966541511774936,7.678638418859952
18.75,11.02,9.763341921763491,11.629365421549798
26.9583,28.41,17.77348425823908,17.25867277430055
27.0267,31.44,17.720675503847282,16.59130846841866
23.2083,11.7,12.862363878367589,13.996880368037592
27.5,26.07,18.301747701704496,17.18339669972171
8.75,27.42,5.252699305702313,5.401168031983695
16.25,4.87,1.4896890581686417,10.136009093403363
