t_s,ldc_raw,r_raw,teng_raw,xa_mm,z_mm,dL_pct,dR_pct,eps_pred_pct,d_pred_mm,eps_act_pct,d_act_mm
656.4931,11853809.0,25663.0,34383.0,0.75,0.0,0.7137,0.7595,3.5437,32.64,1.25,36.0
656.4931,11854681.0,25619.0,34243.0,0.75,0.0,0.6989,0.5867,3.3855,33.09,1.25,36.0
656.4931,11852366.0,25743.0,34389.0,0.75,0.0,0.7382,1.0736,3.8484,32.74,1.25,36.0
656.5143,11852869.0,25669.0,34257.0,0.75,0.0,0.7297,0.7831,3.5658,32.96,1.25,36.0
656.5143,11852624.0,25664.0,33427.0,0.75,0.0,0.7338,0.7634,3.5474,33.14,1.25,36.0
656.5143,11852630.0,25706.0,33403.0,0.75,0.0,0.7337,0.9283,3.7048,32.99,1.25,36.0
656.53,11853924.0,25719.0,32636.0,0.75,0.0,0.7117,0.9794,3.7547,32.74,1.25,36.0
656.53,11847719.0,25673.0,33652.0,0.75,0.0,0.8173,0.7988,3.5806,33.21,1.25,36.0
656.53,11852523.0,25730.0,33764.0,0.75,0.0,0.7356,1.0226,3.7974,32.89,1.25,36.0
656.5617,11853043.0,25729.0,33854.0,0.75,0.0,0.7267,1.0186,3.7935,32.67,1.25,36.0
656.5617,11852071.0,25678.0,34607.0,0.75,0.0,0.7432,0.8184,3.5992,32.91,1.25,36.0
656.5617,11853494.0,25824.0,33647.0,0.75,0.0,0.719,1.3916,4.1795,32.0,1.25,36.0
656.5934,11853199.0,25696.0,33549.0,0.75,0.0,0.7241,0.8891,3.6667,32.33,1.25,36.0
656.5934,11852623.0,25681.0,33436.0,0.75,0.0,0.7339,0.8302,3.6104,32.66,1.25,36.0
656.5934,11853179.0,25725.0,33360.0,0.75,0.0,0.7244,1.0029,3.7779,32.55,1.25,36.0
656.6269,11853357.0,25616.0,33077.0,0.75,0.0,0.7214,0.575,3.3749,33.12,1.25,36.0
656.6269,11852203.0,25704.0,32906.0,0.75,0.0,0.741,0.9205,3.6971,33.02,1.25,36.0
656.6269,11854606.0,25610.0,34697.0,0.75,0.0,0.7002,0.5514,3.3539,33.37,1.25,36.0
656.6582,11850481.0,25622.0,32765.0,0.75,0.0,0.7703,0.5985,3.3961,33.73,1.25,36.0
656.6582,11852994.0,25537.0,33600.0,0.75,0.0,0.7275,0.2648,3.1076,7.15,1.25,36.0
656.6582,11853105.0,25624.0,34867.0,0.75,0.0,0.7257,0.6064,3.4031,33.91,1.25,36.0
656.6899,11853305.0,25624.0,34629.0,0.75,0.0,0.7223,0.6064,3.4031,33.9,1.25,36.0
656.6899,11854560.0,25724.0,35569.0,0.75,0.0,0.7009,0.999,3.774,33.21,1.25,36.0
656.6899,11861102.0,25772.0,33257.0,0.75,0.0,0.5899,1.1875,3.9643,32.0,1.25,36.0
656.7226,11853158.0,25685.0,32829.0,0.75,0.0,0.7248,0.8459,3.6253,32.4,1.25,36.0
656.7226,11852424.0,25704.0,34954.0,0.75,0.0,0.7372,0.9205,3.6971,32.57,1.25,36.0
656.7226,11853987.0,25716.0,33583.0,0.75,0.0,0.7107,0.9676,3.7431,32.51,1.25,36.0
656.7552,11852882.0,25593.0,33739.0,0.75,0.0,0.7295,0.4847,3.295,11.15,1.25,36.0
656.7552,11850318.0,25684.0,33972.0,0.75,0.0,0.773,0.8419,3.6216,33.43,1.25,36.0
656.7552,11852412.0,25713.0,33597.0,0.75,0.0,0.7374,0.9558,3.7316,33.14,1.25,36.0
656.7706,11852654.0,25669.0,34342.0,0.75,0.0,0.7333,0.7831,3.5658,33.21,1.25,36.0
656.7706,11853059.0,25661.0,34533.0,0.75,0.0,0.7264,0.7516,3.5364,33.28,1.25,36.0
656.7706,11852207.0,25611.0,35256.0,0.75,0.0,0.7409,0.5553,3.3574,33.65,1.25,36.0
656.8032,11856416.0,25658.0,33891.0,0.75,0.0,0.6694,0.7399,3.5254,33.36,1.25,36.0
656.8032,11853662.0,25651.0,33669.0,0.75,0.0,0.7162,0.7124,3.4999,33.4,1.25,36.0
656.8032,11852627.0,25619.0,34460.0,0.75,0.0,0.7338,0.5867,3.3855,33.65,1.25,36.0
656.837,11853357.0,25604.0,33279.0,0.75,0.0,0.7214,0.5278,3.333,33.85,1.25,36.0
656.837,11853698.0,25702.0,34190.0,0.75,0.0,0.7156,0.9126,3.6895,33.38,1.25,36.0
656.837,11852832.0,25691.0,33794.0,0.75,0.0,0.7303,0.8694,3.6479,33.21,1.25,36.0
656.8733,11852366.0,25700.0,34553.0,0.75,0.0,0.7382,0.9048,3.6819,33.09,1.25,36.0
656.8733,11852820.0,25640.0,34716.0,0.75,0.0,0.7305,0.6692,3.4602,33.34,1.25,36.0
656.8733,11853218.0,25701.0,33656.0,0.75,0.0,0.7237,0.9087,3.6857,33.11,1.25,36.0
656.8998,11852523.0,25685.0,35240.0,0.75,0.0,0.7356,0.8459,3.6253,33.11,1.25,36.0
656.8998,11852466.0,25632.0,33596.0,0.75,0.0,0.7365,0.6378,3.4316,33.42,1.25,36.0
656.8998,11852162.0,25671.0,33570.0,0.75,0.0,0.7417,0.7909,3.5732,33.4,1.25,36.0
656.9319,11853158.0,25603.0,33748.0,0.75,0.0,0.7248,0.5239,3.3295,33.71,1.25,36.0
